continent,iso3
africa,AGO
africa,BDI
africa,BEN
africa,BFA
africa,BWA
africa,CAF
africa,CIV
africa,CMR
africa,COD
africa,COG
africa,COM
africa,CPV
africa,DJI
africa,DZA
africa,EGY
africa,ERI
africa,ESH
africa,ETH
africa,GAB
africa,GHA
africa,GIN
africa,GMB
africa,GNB
africa,GNQ
africa,KEN
africa,LBR
africa,LBY
africa,LSO
africa,MAR
africa,MDG
africa,MLI
africa,MOZ
africa,MRT
africa,MUS
africa,MWI
africa,MYT
africa,NAM
africa,NER
africa,NGA
africa,REU
africa,RWA
africa,SDN
africa,SEN
africa,SHN
africa,SLE
africa,SOM
africa,SSD
africa,STP
africa,SWZ
africa,SYC
africa,TCD
africa,TGO
africa,TUN
africa,TZA
africa,UGA
africa,ZAF
africa,ZMB
africa,ZWE
antarctica,ATA
antarctica,ATF
antarctica,BVT
antarctica,HMD
antarctica,SGS
asia,AFG
asia,ARE
asia,ARM
asia,AZE
asia,BGD
asia,BHR
asia,BRN
asia,BTN
asia,CCK
asia,CHN
asia,CXR
asia,GEO
asia,HKG
asia,IDN
asia,IND
asia,IOT
asia,IRN
asia,IRQ
asia,ISR
asia,JOR
asia,JPN
asia,KAZ
asia,KGZ
asia,KHM
asia,KOR
asia,KWT
asia,LAO
asia,LBN
asia,LKA
asia,MAC
asia,MDV
asia,MMR
asia,MNG
asia,MYS
asia,NPL
asia,OMN
asia,PAK
asia,PHL
asia,PRK
asia,PSE
asia,QAT
asia,SAU
asia,SGP
asia,SYR
asia,THA
asia,TJK
asia,TKM
asia,TLS
asia,TWN
asia,UZB
asia,VNM
asia,YEM
europe,ALA
europe,ALB
europe,AND
europe,AUT
europe,BEL
europe,BGR
europe,BIH
europe,BLR
europe,CHE
europe,CYP
europe,CZE
europe,DEU
europe,DNK
europe,ESP
europe,EST
europe,FIN
europe,FRA
europe,FRO
europe,GBR
europe,GGY
europe,GIB
europe,GRC
europe,HRV
europe,HUN
europe,IMN
europe,IRL
europe,ISL
europe,ITA
europe,JEY
europe,LIE
europe,LTU
europe,LUX
europe,LVA
europe,MCO
europe,MDA
europe,MKD
europe,MLT
europe,MNE
europe,NLD
europe,NOR
europe,POL
europe,PRT
europe,ROU
europe,RUS
europe,SJM
europe,SMR
europe,SRB
europe,SVK
europe,SVN
europe,SWE
europe,TUR
europe,UKR
europe,VAT
north-america,ABW
north-america,AIA
north-america,ANT
north-america,ATG
north-america,BES
north-america,BHS
north-america,BLM
north-america,BLZ
north-america,BMU
north-america,BRB
north-america,CAN
north-america,CRI
north-america,CUB
north-america,CUW
north-america,CYM
north-america,DMA
north-america,DOM
north-america,GLP
north-america,GRD
north-america,GRL
north-america,GTM
north-america,HND
north-america,HTI
north-america,JAM
north-america,KNA
north-america,LCA
north-america,MAF
north-america,MEX
north-america,MSR
north-america,MTQ
north-america,NIC
north-america,PAN
north-america,PRI
north-america,SLV
north-america,SPM
north-america,SXM
north-america,TCA
north-america,TTO
north-america,UMI
north-america,USA
north-america,VCT
north-america,VGB
north-america,VIR
oceania,ASM
oceania,AUS
oceania,COK
oceania,FJI
oceania,FSM
oceania,GUM
oceania,KIR
oceania,MHL
oceania,MNP
oceania,NCL
oceania,NFK
oceania,NIU
oceania,NRU
oceania,NZL
oceania,PCN
oceania,PLW
oceania,PNG
oceania,PYF
oceania,SLB
oceania,TKL
oceania,TON
oceania,TUV
oceania,VUT
oceania,WLF
oceania,WSM
south-america,ARG
south-america,BOL
south-america,BRA
south-america,CHL
south-america,COL
south-america,ECU
south-america,FLK
south-america,GUF
south-america,GUY
south-america,PER
south-america,PRY
south-america,SUR
south-america,URY
south-america,VEN
