name,latitude,longitude,country,trend,uncertainty,pValue,_id
BREST,48.382850,-4.494838,FRANCE,2.3850,1.2400,0.0544,1
CUXHAVEN 2,53.866667,8.716667,GERMANY,3.5310,1.3650,0.0097,7
WISMAR 2,53.898889,11.458056,GERMANY,1.4760,0.7530,0.0500,8
MAASSLUIS,51.917500,4.249722,NETHERLANDS,1.4840,1.0500,0.1576,9
SAN FRANCISCO,37.806667,-122.465000,UNITED STATES,2.1900,1.2910,0.0898,10
WARNEMUNDE 2,54.169722,12.103333,GERMANY,1.8750,0.7760,0.0157,11
NEW YORK (THE BATTERY),40.700000,-74.013333,UNITED STATES,4.5440,0.9030,0.0000,12
TRAVEMUNDE,53.958056,10.872222,GERMANY,2.3490,1.0080,0.0198,13
HELSINKI,60.153633,24.956217,FINLAND,-2.5780,1.5730,0.1012,14
VLISSINGEN,51.442222,3.596111,NETHERLANDS,2.9980,1.9830,0.1306,20
HOEK VAN HOLLAND,51.977500,4.120000,NETHERLANDS,2.4460,0.8380,0.0035,22
DEN HELDER,52.964444,4.745000,NETHERLANDS,1.5550,0.8480,0.0667,23
DELFZIJL,53.326389,6.933056,NETHERLANDS,2.7980,1.0990,0.0109,24
HARLINGEN,53.175556,5.409444,NETHERLANDS,2.8150,0.8870,0.0015,25
IJMUIDEN,52.462222,4.554722,NETHERLANDS,2.6870,1.8490,0.1462,32
OSCARSBORG,59.678073,10.604861,NORWAY,-1.8880,1.1590,0.1033,33
POTI,42.166667,41.683333,GEORGIA,8.6510,1.7420,0.0000,41
KABELVAG,68.212639,14.482149,NORWAY,-0.6190,1.5010,0.6801,45
STAVANGER,58.974339,5.730121,NORWAY,0.9680,0.7580,0.2016,47
VAASA / VASA,63.081533,21.571183,FINLAND,-7.0410,1.4800,0.0000,57
BERGEN,60.398046,5.320487,NORWAY,1.1560,1.1020,0.2942,58
MARSEILLE,43.278801,5.353860,FRANCE,3.5300,0.9670,0.0003,61
OSLO,59.908559,10.734510,NORWAY,-1.0080,1.9620,0.6074,62
OLANDS NORRA UDDE,57.366111,17.097222,SWEDEN,-1.0870,1.1950,0.3630,69
KUNGSHOLMSFORT,56.105278,15.589444,SWEDEN,0.2330,1.0210,0.8195,70
HANKO / HANGO,59.822867,22.976583,FINLAND,-3.8510,1.4800,0.0093,71
AARHUS,56.147222,10.223889,DENMARK,2.6270,0.8390,0.0017,76
STOCKHOLM,59.324167,18.081667,SWEDEN,-2.9010,1.2710,0.0225,78
OULU / ULEABORG,65.040317,25.418233,FINLAND,-6.2160,1.7050,0.0003,79
ESBJERG,55.460833,8.441111,DENMARK,2.6770,1.2860,0.0374,80
FREDERICIA,55.560833,9.754444,DENMARK,2.0080,0.7090,0.0046,81
KOBENHAVN,55.705000,12.600000,DENMARK,1.8110,1.0210,0.0761,82
RATAN,63.986111,20.895000,SWEDEN,-7.2310,1.4930,0.0000,88
HIRTSHALS,57.595556,9.963889,DENMARK,-0.2090,1.0970,0.8489,89
FREDERIKSHAVN,57.436389,10.548889,DENMARK,-0.9830,0.9500,0.3008,91
NORTH SHIELDS,55.007444,-1.439778,UNITED KINGDOM,2.6030,0.8700,0.0028,95
SLIPSHAVN,55.288333,10.827778,DENMARK,2.1430,0.7970,0.0072,98
FREMANTLE,-32.065556,115.748139,AUSTRALIA,4.7690,1.3340,0.0004,111
FERNANDINA BEACH,30.671667,-81.465000,UNITED STATES,2.1490,0.6690,0.0013,112
KORSOR,55.332222,11.142222,DENMARK,1.9170,0.8490,0.0239,113
KLAIPEDA,55.700000,21.133333,LITHUANIA,3.4960,1.9810,0.0776,118
HORNBAEK,56.091111,12.458333,DENMARK,2.6730,1.2350,0.0304,119
GEDSER,54.572778,11.925556,DENMARK,2.3890,0.8570,0.0053,120
TROIS-RIVIERES,46.333333,-72.550000,CANADA,-7.8700,8.2540,0.3403,126
SEATTLE,47.601667,-122.338333,UNITED STATES,2.5790,0.8490,0.0024,127
ABURATSUBO,35.160278,139.615278,JAPAN,5.4700,0.7980,0.0000,130
AYUKAWA,38.296667,141.505278,JAPAN,7.1800,0.8380,0.0000,131
WAJIMA,37.405833,136.900278,JAPAN,2.5840,1.0250,0.0117,132
HOSOJIMA,32.428611,131.669444,JAPAN,2.3150,1.2580,0.0657,133
KUSHIMOTO,33.475833,135.773333,JAPAN,7.0400,1.3970,0.0000,134
PHILADELPHIA (PIER 9N),39.933333,-75.141667,UNITED STATES,5.1980,1.1690,0.0000,135
BATISCAN,46.500000,-72.250000,CANADA,-4.1430,6.0270,0.4918,144
BALTIMORE,39.266667,-76.578333,UNITED STATES,4.4420,0.8920,0.0000,148
TRIESTE,45.647361,13.758472,ITALY,3.4740,0.8980,0.0001,154
HONOLULU,21.306667,-157.866667,UNITED STATES,1.0880,0.8250,0.1872,155
SAN DIEGO (QUARANTINE STATION),32.713333,-117.173333,UNITED STATES,2.8280,0.7270,0.0001,158
"GALVESTON II, PIER 21, TX",29.310000,-94.793333,UNITED STATES,5.5970,1.1310,0.0000,161
BALBOA,8.966667,-79.566667,PANAMA,2.8350,1.0460,0.0067,163
TOFINO,49.150000,-125.916667,CANADA,0.6630,0.9890,0.5026,165
VICTORIA,48.416667,-123.366667,CANADA,1.7180,0.8910,0.0538,166
PRINCE RUPERT,54.316667,-130.333333,CANADA,2.0350,0.9270,0.0281,167
MANTYLUOTO,61.594383,21.463433,FINLAND,-5.1390,1.5730,0.0011,172
QUEBEC (LAUZON),46.833333,-71.166667,CANADA,1.2900,1.9120,0.4999,173
KO LAK,11.800000,99.816667,THAILAND,4.6360,2.0380,0.0229,174
SMOGEN,58.353611,11.217778,SWEDEN,0.1990,1.0120,0.8441,179
ATLANTIC CITY,39.355000,-74.418333,UNITED STATES,4.9090,0.9330,0.0000,180
PORTLAND  (MAINE),43.656667,-70.246667,UNITED STATES,2.6410,1.0520,0.0121,183
KEY WEST,24.555000,-81.806667,UNITED STATES,3.3680,0.6440,0.0000,188
PORT HEDLAND,-20.317583,118.574417,AUSTRALIA,4.7560,1.8680,0.0109,189
NEUVILLE,46.700000,-71.566667,CANADA,0.6660,2.5020,0.7901,192
POINT ATKINSON,49.333333,-123.250000,CANADA,2.2510,0.8590,0.0088,193
PIETARSAARI  /  JAKOBSTAD,63.708567,22.689583,FINLAND,-6.8600,1.6720,0.0000,194
"SAINT JOHN, N.B.",45.266667,-66.066667,CANADA,1.9960,1.0050,0.0470,195
"SYDNEY, FORT DENISON 2",-33.854667,151.225778,AUSTRALIA,1.6110,0.7960,0.0430,196
DESCHAILLONS,46.566667,-72.100000,CANADA,-2.1440,4.7920,0.6546,201
NEWLYN,50.103000,-5.542833,UNITED KINGDOM,2.8070,0.6500,0.0000,202
FURUOGRUND,64.915833,21.230556,SWEDEN,-5.7850,1.5800,0.0003,203
TUAPSE,44.100000,39.066667,RUSSIAN FEDERATION,5.4750,1.5510,0.0004,215
PORT PIRIE,-33.177644,138.011650,AUSTRALIA,3.9310,1.6580,0.0177,216
WELLINGTON HARBOUR,-41.284340,174.779800,NEW ZEALAND,3.5720,0.7580,0.0000,221
LEWES (BREAKWATER HARBOR),38.781667,-75.120000,UNITED STATES,5.0940,0.9620,0.0000,224
KETCHIKAN,55.331667,-131.625000,UNITED STATES,-0.8410,0.8370,0.3150,225
KEMI,65.673367,24.515250,FINLAND,-5.7410,1.7070,0.0008,229
PORT LINCOLN,-34.715903,135.870011,AUSTRALIA,2.6210,0.7690,0.0007,230
CHARLESTON I,32.781667,-79.925000,UNITED STATES,3.9830,0.9870,0.0001,234
BOSTON,42.353333,-71.053333,UNITED STATES,4.2520,1.0710,0.0001,235
WEST-TERSCHELLING,53.363056,5.220000,NETHERLANDS,2.4650,1.0880,0.0235,236
TURKU / ABO,60.428283,22.100533,FINLAND,-4.2390,1.5810,0.0073,239
RAAHE / BRAHESTAD,64.666333,24.407050,FINLAND,-7.3560,1.6750,0.0000,240
LOS ANGELES,33.720000,-118.271667,UNITED STATES,2.3010,0.7290,0.0016,245
PENSACOLA,30.403333,-87.210000,UNITED STATES,3.8050,0.9070,0.0000,246
FOGLO / DEGERBY,60.031883,20.384817,ÅLAND ISLANDS,-4.5160,1.4780,0.0022,249
LA JOLLA (SCRIPPS PIER),32.866667,-117.256667,UNITED STATES,2.7530,0.7200,0.0001,256
ASTORIA (TONGUE POINT),46.206667,-123.768333,UNITED STATES,1.8590,1.1630,0.1099,265
SEWARD,60.120000,-149.426667,UNITED STATES,-4.2910,1.1770,0.0003,266
KASKINEN / KASKO,62.343950,21.214833,FINLAND,-6.4430,1.6120,0.0001,285
IMMINGHAM,53.630222,-0.187417,UNITED KINGDOM,-1.0430,1.0590,0.3247,286
"SEWELLS POINT, HAMPTON ROADS",36.946667,-76.330000,UNITED STATES,6.3850,0.9470,0.0000,299
"HILO,  HAWAII ISLAND",19.730000,-155.055000,UNITED STATES,1.7560,1.0040,0.0803,300
TREGDE,58.006377,7.554759,NORWAY,1.2790,0.6330,0.0433,302
YAMBA,-29.429712,153.361875,AUSTRALIA,1.3340,1.2090,0.2699,310
ANNAPOLIS (NAVAL ACADEMY),38.983333,-76.480000,UNITED STATES,4.9340,0.8530,0.0000,311
NARVIK,68.428286,17.425759,NORWAY,-1.2670,1.2600,0.3146,312
HEIMSJO,63.425224,9.101504,NORWAY,-0.0370,1.0300,0.9713,313
STORNOWAY,58.207806,-6.388972,UNITED KINGDOM,2.6380,0.8430,0.0018,314
HAMINA,60.562767,27.179200,FINLAND,-1.6330,1.8090,0.3667,315
KLAGSHAMN,55.522222,12.893611,SWEDEN,0.3820,0.9490,0.6873,330
EASTPORT,44.903333,-66.981667,UNITED STATES,2.8290,1.0530,0.0072,332
NEWPORT,41.505000,-71.326667,UNITED STATES,3.7980,0.7550,0.0000,351
SPLIT - GRADSKA LUKA,43.506700,16.441700,CROATIA,3.8950,1.2030,0.0012,352
BAKAR,45.300000,14.533333,CROATIA,3.2420,1.0580,0.0022,353
WASHINGTON DC,38.873333,-77.021667,UNITED STATES,4.4810,1.0110,0.0000,360
ABERDEEN I,57.144056,-2.077361,UNITED KINGDOM,1.2370,0.9010,0.1698,361
SANDY HOOK,40.466667,-74.008333,UNITED STATES,5.6190,0.8470,0.0000,366
WOODS HOLE (OCEAN. INST.),41.523333,-70.671667,UNITED STATES,4.2430,0.8440,0.0000,367
THESSALONIKI,40.632542,22.934933,GREECE,5.8940,1.1720,0.0000,373
RAUMA / RAUMO,61.133533,21.425817,FINLAND,-5.0660,1.5870,0.0014,376
SANTA MONICA (MUNICIPAL PIER),34.008333,-118.500000,UNITED STATES,2.4680,0.8060,0.0022,377
CRESCENT CITY,41.745000,-124.181667,UNITED STATES,-0.7130,0.8290,0.3897,378
FRIDAY HARBOR (OCEAN. LABS.),48.546667,-123.010000,UNITED STATES,2.1250,0.7860,0.0069,384
NEAH BAY,48.366667,-124.611667,UNITED STATES,-1.2000,0.8650,0.1654,385
THEVENARD,-32.148944,133.641333,AUSTRALIA,4.3630,1.4880,0.0034,386
PORT AUX BASQUES,47.566667,-59.133333,CANADA,3.3140,0.9000,0.0002,392
"ST. JOHN'S, NFLD.",47.566667,-52.716667,CANADA,1.8360,0.8810,0.0372,393
CEBU,10.300000,123.916667,PHILIPPINES,3.9790,1.4190,0.0050,394
FORT PULASKI,32.033333,-80.901667,UNITED STATES,3.9800,0.5970,0.0000,395
WILMINGTON,34.226667,-77.953333,UNITED STATES,3.2030,0.9300,0.0006,396
SASSNITZ,54.510833,13.643056,GERMANY,2.3430,1.0750,0.0293,397
JUNEAU,58.298333,-134.411667,UNITED STATES,-14.4070,1.0050,0.0000,405
UCHIURA,35.017222,138.890278,JAPAN,3.2400,1.3160,0.0138,407
KHIOS,38.371514,26.141189,GREECE,4.5200,1.1950,0.0002,408
PREVEZA,38.959078,20.756628,GREECE,2.5720,1.6940,0.1289,410
SOLOMON'S ISLAND (BIOL. LAB.),38.316667,-76.451667,UNITED STATES,5.4620,0.8330,0.0000,412
OOSTENDE,51.233333,2.916667,BELGIUM,2.3140,0.7280,0.0015,413
ANDENES,69.326067,16.134848,NORWAY,-0.6840,2.0350,0.7368,425
SITKA,57.051667,-135.341667,UNITED STATES,-2.4700,0.8330,0.0030,426
CHARLOTTETOWN,46.233333,-63.116667,CANADA,3.8140,0.7240,0.0000,427
NEW LONDON,41.360000,-72.090000,UNITED STATES,4.4630,1.0060,0.0000,429
PROVIDENCE (STATE PIER),41.806667,-71.400000,UNITED STATES,3.7640,0.8910,0.0000,430
MONTEVIDEO (PUNTA LOBOS),-34.900000,-56.250000,URUGUAY,0.5550,1.2520,0.6576,431
DUBLIN,53.350000,-6.216667,IRELAND,7.4000,2.9080,0.0109,432
ALAMEDA (NAVAL AIR STATION),37.771667,-122.298333,UNITED STATES,0.9330,1.0030,0.3523,437
YAKUTAT,59.548333,-139.733333,UNITED STATES,-13.2760,2.1890,0.0000,445
KO TAPHAO NOI,7.833333,98.433333,THAILAND,6.0570,2.6380,0.0217,446
CHURCHILL,58.766667,-94.183333,CANADA,-7.1620,2.0840,0.0006,447
PORT ADELAIDE (OUTER HARBOR),-34.779761,138.480728,AUSTRALIA,3.5870,0.9380,0.0001,448
LE HAVRE,49.481900,0.106000,FRANCE,1.9840,1.1000,0.0713,453
CHERBOURG,49.651299,-1.635630,FRANCE,1.9080,0.6090,0.0017,467
ZEEBRUGGE,51.350000,3.200000,BELGIUM,3.2200,0.8480,0.0001,470
VIGO,42.238000,-8.731000,SPAIN,1.3170,1.1180,0.2388,483
LA CORUNA I,43.368600,-8.397750,SPAIN,3.0610,0.9730,0.0017,484
SANTANDER I,43.461300,-3.790800,SPAIN,3.1260,1.1880,0.0085,485
MALOY,61.933776,5.113310,NORWAY,1.5610,0.8370,0.0622,486
TARIFA,36.008600,-5.602600,SPAIN,4.5260,1.2980,0.0005,488
NIEUWPOORT,51.150000,2.733333,BELGIUM,1.9290,0.8880,0.0298,489
SKAGWAY,59.450000,-135.326667,UNITED STATES,-20.4510,1.2390,0.0000,495
MALAGA,36.712700,-4.415460,SPAIN,3.6200,1.7630,0.0400,496
PORT ISABEL,26.060000,-97.215000,UNITED STATES,5.5420,1.1290,0.0000,497
CEUTA,35.892400,-5.315890,SPAIN,0.4910,0.7390,0.5064,498
PORT SAN LUIS,35.176667,-120.760000,UNITED STATES,1.2210,0.7380,0.0980,508
ALESUND,62.469414,6.151946,NORWAY,0.4490,1.0550,0.6704,509
ANTOFAGASTA 2,-23.653056,-70.404444,CHILE,-0.4370,0.8920,0.6242,510
KWAJALEIN,8.731667,167.735000,MARSHALL ISLANDS,5.1860,1.3330,0.0001,513
KUSHIRO,42.975556,144.371389,JAPAN,7.7020,0.9580,0.0000,518
MONTAUK,41.048333,-71.960000,UNITED STATES,5.0910,1.1090,0.0000,519
ST. PETERSBURG,27.760000,-82.626667,UNITED STATES,3.3140,0.5640,0.0000,520
"KAHULUI HARBOR, MAUI ISLAND",20.895000,-156.476667,UNITED STATES,1.5190,0.8370,0.0696,521
MIDWAY ISLAND,28.211667,-177.360000,UNITED STATES MINOR OUTLYING ISLANDS,3.6460,0.7670,0.0000,523
VARDO,70.374978,31.104015,NORWAY,0.2230,0.8080,0.7826,524
"BAR HARBOR, FRENCHMAN BAY, ME",44.391667,-68.205000,UNITED STATES,2.7640,0.6190,0.0000,525
GRAND ISLE,29.263333,-89.956667,UNITED STATES,7.5960,1.5600,0.0000,526
ROCKPORT,28.021667,-97.046667,UNITED STATES,8.3000,1.5740,0.0000,538
PAGO PAGO,-14.280000,-170.690000,AMERICAN SAMOA,6.8670,1.3220,0.0000,539
"APRA HARBOUR,  GUAM",13.438333,144.653333,GUAM,5.3520,2.0510,0.0091,540
DIAMOND HARBOUR,22.200000,88.166667,INDIA,3.1450,1.4630,0.0316,543
BODO,67.288290,14.390813,NORWAY,0.4800,1.7940,0.7890,562
GIBARA,21.108333,-76.125000,CUBA,1.8270,0.6870,0.0078,563
MACKAY,-21.100000,149.233333,AUSTRALIA,3.4660,0.8910,0.0001,564
