,timestamp,ID,tide,location,latitude,longitude,country,year
1759,2015-12-31,145,390.0,"Manila, S. Harbor",14.583,120.96700000000001,PHL,2015
4993,2015-12-31,444,378.0,Fort Phrachula Chomklao (Pom Phrachun),13.55,100.583,THA,2015
9475,2015-12-31,1060,372.0,Miyake Sima,34.067,139.481,JPN,2015
13555,2015-12-31,1442,302.0,Hanasaki Ii,43.278,145.56799999999998,JPN,2015
13128,2015-12-31,1390,286.0,Murotomisaki,33.266,134.164,JPN,2015
557,2015-12-31,41,286.0,Poti,42.167,41.683,GEO,2015
11878,2015-12-31,1263,259.0,Omaezaki Ii,34.608000000000004,138.222,JPN,2015
12491,2015-12-31,1327,248.0,Suva-A,-18.136,178.423,FJI,2015
6200,2015-12-31,539,228.0,Pago Pago,-14.28,-170.69,ASM,2015
5859,2015-12-31,518,219.0,Kushiro,42.976000000000006,144.371,JPN,2015
14909,2015-12-31,1631,218.0,Onslow,-21.65,115.132,AUS,2015
1604,2015-12-31,134,217.0,Kushimoto,33.476,135.773,JPN,2015
15219,2015-12-31,1643,217.0,Port Chalmers,-45.815,170.62400000000002,NZL,2015
6107,2015-12-31,526,214.0,Grand Isle,29.263,-89.95700000000001,USA,2015
7877,2015-12-31,808,210.0,Shimizu-Minato,35.012,138.518,JPN,2015
11539,2015-12-31,1239,207.0,Levkas,38.835,20.712,GRC,2015
6169,2015-12-31,538,205.0,Rockport,28.022,-97.04700000000001,USA,2015
14878,2015-12-31,1630,196.0,Lucinda,-18.517,146.38299999999998,AUS,2015
8888,2015-12-31,953,193.0,Cairns,-16.917,145.783,AUS,2015
5983,2015-12-31,522,191.0,"Legaspi, Albay",13.15,123.75,PHL,2015
14104,2015-12-31,1505,191.0,Whitby,54.49,-0.615,GBR,2015
15126,2015-12-31,1639,189.0,"N. Spit, Humboldt Bay",40.766999999999996,-124.21700000000001,USA,2015
10033,2015-12-31,1099,188.0,Osaka,34.658,135.433,JPN,2015
9351,2015-12-31,1028,181.0,Hirosima,34.353,132.465,JPN,2015
12429,2015-12-31,1324,178.0,Pohang,36.047,129.384,KOR,2015
7998,2015-12-31,812,173.0,Uno,34.489000000000004,133.94899999999998,JPN,2015
13462,2015-12-31,1438,173.0,Yaizu,34.871,138.327,JPN,2015
14847,2015-12-31,1629,170.0,Mourilyan Harbour,-17.583,146.083,AUS,2015
4625,2015-12-31,412,165.0,Solomon'S Island (Biol. Lab.),38.317,-76.452,USA,2015
15837,2015-12-31,2324,165.0,"Lewisetta, Virginia",37.995,-76.465,USA,2015
1914,2015-12-31,161,162.0,"Galveston Ii, Pier 21, Tx",29.31,-94.79299999999999,USA,2015
13431,2015-12-31,1437,161.0,Tago,34.806999999999995,138.764,JPN,2015
11206,2015-12-31,1210,161.0,Tokuyama Ii,34.041,131.803,JPN,2015
7298,2015-12-31,722,160.0,Yokosuka,35.288000000000004,139.651,JPN,2015
