Station Name,ID,Lat.,Lon.,GLOSS ID,Country,Date,Coastline,Station
REYKJAVIK,638,64.151,-21.940,229,ISL,27/06/2018,10,1
GRINDAVIK,877,63.833,-22.433,,ISL,01/01/1980,10,11
TORSHAVN,839,62.017,-6.767,237,FRO,30/10/2007,15,11
BARENTSBURG,541,78.067,14.250,231,SJM,09/01/2018,25,1
BARENTSBURG II (SPITSBERGEN),547,78.067,14.250,231,SJM,17/01/2003,25,2
NY-ALESUND,1421,78.929,11.938,345,SJM,07/02/2018,25,21
RUSSKAYA GAVAN,711,76.200,62.583,99,RUS,12/07/1994,30,1
RUSSKAIA GAVAN II,710,76.183,62.583,99,RUS,17/01/2003,30,3
BELYI NOS,859,69.600,60.217,,RUS,17/01/2003,30,7
BUGRINO,2025,68.800,49.333,,RUS,20/07/2010,30,10
KRENKELIA (HEISA OSTROV),1012,80.617,58.050,,RUS,17/01/2003,30,14
MALYE KARMAKULY,609,72.367,52.700,,RUS,17/01/2003,30,16
MURMANSK,684,68.967,33.050,274,RUS,09/01/2018,30,18
MURMANSK II,687,68.967,33.050,274,RUS,17/01/2003,30,19
POLYARNIY,2027,69.200,33.483,,RUS,20/07/2010,30,20
TERIBERKA,2028,69.200,35.117,,RUS,20/07/2010,30,23
LINAKHAMARI,365,69.650,31.367,,RUS,1/1/1980,30,25
MYS PIKSHUEVA,2026,69.550,32.433,,RUS,20/07/2010,30,30
BOLVANSKII NOS (FEDOROVA),651,70.450,59.083,,RUS,6/1/2003,30,305
UGORSKII SHAR (UGORSKII SHAR PROLIV),622,69.817,60.750,,RUS,6/1/2003,30,308
AMDERMA,599,69.750,61.700,,RUS,08/12/2014,30,310
UST KARA,600,69.250,64.517,,RUS,08/12/2014,30,315
MORZHOVAIA (HARASAVEI MYS),732,71.417,67.583,,RUS,16/05/2013,30,318
ZHELANIA II (ZHELANIA MYS),647,76.950,68.550,,RUS,06/01/2003,30,321
POPOVA (BELYI OSTROV),653,73.333,70.050,,RUS,06/01/2003,30,325
TADIBE-IAHA,767,70.367,72.567,,RUS,06/01/2003,30,328
SE-LAHA,1200,70.150,72.567,,RUS,06/01/2003,30,331
ANTIPAIUTA,1128,69.083,76.850,,RUS,06/01/2003,30,335
VISE (VISE OSTROV),704,79.500,76.983,,RUS,08/12/2014,30,338
LESKINA (LESKINA MYS),654,72.317,79.567,,RUS,06/01/2003,30,340
DIKSON,611,73.500,80.400,312,RUS,13/08/2013,30,345
UEDINENIA (UEDINENIA OSTROV),707,77.500,82.200,,RUS,06/01/2003,30,348
SOPOCHNAIA KARGA,917,71.867,82.700,,RUS,8/12/2014,30,351
IZVESTIA TSIK (IZVESTIA TSIK OSTROVA),728,75.950,82.950,,RUS,08/12/2014,30,360
STERLEGOVA (STERLEGOVA MYS),612,75.417,88.900,,RUS,13/08/2013,30,365
ISACHENKO (ISACHENKO OSTROV),734,77.150,89.200,,RUS,06/01/2003,30,370
GOLOMIANYI (GOLOMIANYI OSTROV),729,79.550,90.617,,RUS,13/08/2013,30,374
PRAVDY (PRAVDY OSTROV),615,76.267,94.767,,RUS,06/01/2003,30,378
RUSSKII (RUSSKII OSTROV),655,77.167,96.433,,RUS,06/01/2003,30,380
KRASNOFLOTSKIE (KRASNOFLOTSKIE OSTROVA),738,78.600,98.833,,RUS,16/05/2013,30,385
GEIBERGA (GEIBERGA OSTROV),648,77.600,101.517,,RUS,06/01/2003,30,387
SOLNECHNAIA (SOLNECHNAIA BUKHTA),656,78.200,103.267,,RUS,06/01/2003,30,390
FEDOROVA (CHELUSKIN MYS),601,77.717,104.300,,RUS,13/08/2013,30,392
KOSYSTYI (KOSYSTYI MYS),736,73.650,109.733,,RUS,06/01/2003,30,394
SVIATOI NOS (SVIATOI NOS MYS),657,72.833,140.733,,RUS,06/01/2003,30,397
PESCHANYI (PESCHANYI MYS),1006,79.433,102.483,,RUS,08/01/2003,30,405
ANDREIA (ANDREIA OSTROV),646,76.800,110.750,,RUS,8/1/2003,30,410
MALYI TAIMYR (MALYI TAIMYR OSTROV),620,78.083,106.817,,RUS,08/01/2003,30,414
PREOBRAZHENIA (PREOBRAZHENIA OSTROV),652,74.667,112.933,,RUS,08/01/2003,30,418
MARII PRONCHISHEVOI (BUKHTA),667,75.533,113.433,,RUS,08/01/2003,30,420
ANABAR,1780,73.217,113.500,,RUS,8/12/2014,30,425
TERPIAI-TUMSA,790,73.550,118.667,,RUS,08/01/2003,30,430
UST OLENEK,610,73.000,119.867,,RUS,08/01/2003,30,435
DUNAI (DUNAI OSTROV),640,73.933,124.500,,RUS,13/08/2013,30,440
SAGYLLAH-ARY,1019,73.150,128.883,,RUS,08/01/2003,30,443
TIKSI (TIKSI BUKHTA),569,71.583,128.917,313,RUS,13/08/2013,30,447
BYKOV MYS (BYKOV MYS),1399,72.000,129.117,,RUS,08/01/2003,30,449
MALYSHEVA (MALYSHEVA OSTROV),741,72.067,129.833,,RUS,08/01/2003,30,452
MUOSTAH ( MUOSTAH OSTROV),649,71.550,130.033,,RUS,08/01/2003,30,455
NAIBA,1497,70.850,130.750,,RUS,8/1/2003,30,460
BUORHAIA (BUORHAIA MYS),735,71.950,132.767,,RUS,8/1/2003,30,464
UADEI,709,71.517,136.417,,RUS,8/1/2003,30,468
KOTELNYI (KOTELNYI OSTROV),641,76.000,137.867,,RUS,8/12/2014,30,475
SANNIKOVA (SANNIKOVA PROLIV),602,74.667,138.900,,RUS,08/12/2014,30,480
KIGILIAH,642,73.333,139.867,,RUS,8/12/2014,30,485
ZEMLIA BUNGE,658,74.883,142.117,,RUS,13/01/2003,30,510
SHALAUROVA (SHALAUROVA MYS),603,73.183,143.233,,RUS,13/8/2013,30,516
NEMKOVA (NEMKOVA OSTROV),797,71.417,150.750,,RUS,16/1/2003,30,521
ZHOHOVA (ZHOHOVA OSTROV),937,76.150,152.833,,RUS,13/1/2003,30,528
AMBARCHIK,604,69.617,162.300,,RUS,8/12/2014,30,535
CHETYREHSTOLBOVOI,650,70.633,162.483,,RUS,16/1/2003,30,550
RAU-CHUA,605,69.500,166.583,,RUS,08/12/2014,30,556
AION,730,69.933,167.983,,RUS,13/07/2010,30,560
PEVEK,606,69.700,170.250,,RUS,08/12/2014,30,567
VALKARKAI,792,70.083,170.933,,RUS,16/01/2003,30,570
BILLINGA,708,69.883,175.767,,RUS,16/01/2003,30,578
MYS SHMIDTA,616,68.900,-179.367,,RUS,16/01/2003,30,610
VRANGELIA (VRANGELIA OSTROV),608,70.983,-178.483,,RUS,16/01/2003,30,620
VANKAREM,607,67.833,-175.833,,RUS,13/08/2013,30,630
KOLUCHIN,621,67.483,-174.650,,RUS,16/01/2003,30,640
NETTEN,613,66.967,-171.933,,RUS,16/01/2003,30,650
RATMANOVA,617,65.850,-169.133,,RUS,16/01/2003,30,670
PROVIDENIA,662,64.417,-173.233,309,RUS,16/01/2003,30,725
VARDO,524,70.375,31.104,323,NOR,07/02/2018,40,1
VADSO,1257,70.067,29.750,,NOR,18/10/1994,40,5
BERLEVAG,442,70.850,29.100,,NOR,01/01/1980,40,11
HONNINGSVAG,1267,70.980,25.973,,NOR,07/02/2018,40,15
HAMMERFEST,758,70.665,23.683,,NOR,07/02/2018,40,21
TROMSO,680,69.647,18.961,,NOR,31/10/2018,40,31
ANDENES,425,69.326,16.135,322,NOR,17/01/2019,40,41
HARSTAD,681,68.801,16.548,,NOR,07/02/2018,40,61
EVENSKJAER,531,68.583,16.550,,NOR,01/01/1980,40,71
NARVIK,312,68.428,17.426,,NOR,07/02/2018,40,81
KABELVAG,45,68.213,14.482,,NOR,07/02/2018,40,91
BODO,562,67.288,14.391,,NOR,17/01/2019,40,101
SANDNESSJOEN,1137,66.017,12.633,,NOR,01/01/1980,40,117
MOSJOEN,781,65.850,13.200,,NOR,01/01/1980,40,121
BRONNOYSUND,803,65.483,12.217,,NOR,1/1/1980,40,131
RORVIK,1241,64.859,11.230,234,NOR,07/02/2018,40,136
TRONDHEIM,34,63.433,10.433,,NOR,30/9/1991,40,141
TRONDHEIM 2,1748,63.436,10.392,,NOR,07/02/2018,40,142
HEIMSJO,313,63.425,9.102,,NOR,15/8/2018,40,151
KRISTIANSUND,682,63.114,7.734,,NOR,7/2/2018,40,161
ALESUND,509,62.469,6.152,,NOR,17/1/2019,40,191
KJOLSDAL,398,61.917,5.633,,NOR,10/10/1994,40,201
MALOY,486,61.934,5.113,,NOR,07/02/2018,40,211
BERGEN,58,60.398,5.320,,NOR,17/01/2019,40,221
STAVANGER,47,58.974,5.730,,NOR,07/02/2018,40,261
TREGDE,302,58.006,7.555,321,NOR,07/02/2018,40,301
HELGEROA,1113,58.995,9.856,,NOR,07/02/2018,40,310
NEVLUNGHAVN,401,58.967,9.883,,NOR,01/01/1980,40,311
OSLO,62,59.909,10.735,,NOR,07/02/2018,40,321
OSCARSBORG,33,59.678,10.605,,NOR,07/02/2018,40,331
VIKER,1759,59.036,10.950,,NOR,07/02/2018,40,341
STROMSTAD,140,58.950,11.183,,SWE,06/11/1991,50,1
KUNGSVIK,2113,58.997,11.127,,SWE,03/04/2018,50,9
SMOGEN,179,58.354,11.218,,SWE,03/04/2018,50,11
BACKEVIK,97,58.367,11.250,,SWE,01/01/1980,50,21
STENUNGSUND,2112,58.093,11.833,,SWE,03/04/2018,50,24
GOTEBORG-RINGON,2133,57.717,11.967,,SWE,01/11/2012,50,30
GOTEBORG - KLIPPAN,74,57.683,11.900,,SWE,01/03/2012,50,31
GOTEBORG - TORSHAMNEN,1236,57.685,11.791,233,SWE,03/04/2018,50,32
RINGHALS,2111,57.250,12.113,,SWE,03/04/2018,50,35
VARBERG,73,57.100,12.217,,SWE,01/01/1980,50,41
KLAGSHAMN,330,55.522,12.894,,SWE,03/04/2018,50,51
SKANOR,2108,55.417,12.829,,SWE,03/04/2018,50,56
LIMHAMN,323,55.583,12.933,,SWE,01/01/1980,50,61
BARSEBACK,2109,55.756,12.903,,SWE,03/04/2018,50,64
VIKEN,2110,56.142,12.579,,SWE,03/04/2018,50,66
YSTAD,72,55.417,13.817,,SWE,29/07/1988,50,71
SIMRISHAMN,2107,55.558,14.358,,SWE,03/04/2018,50,74
KUNGSHOLMSFORT,70,56.105,15.589,,SWE,03/04/2018,50,81
OSKARSHAMN,2106,57.275,16.478,,SWE,03/04/2018,50,85
OLANDS NORRA UDDE,69,57.366,17.097,,SWE,03/04/2018,50,91
VISBY,2105,57.639,18.284,,SWE,03/04/2018,50,96
NEDRE NYKOPING,170,58.750,17.017,,SWE,01/01/1980,50,111
MARVIKEN,2104,58.554,16.837,,SWE,03/04/2018,50,115
LANDSORT,68,58.742,17.865,,SWE,01/03/2012,50,121
LANDSORT NORRA,2132,58.769,17.859,,SWE,03/04/2018,50,123
NEDRE SODERTALJE,31,59.200,17.617,,SWE,06/11/1991,50,131
STOCKHOLM,78,59.324,18.082,341,SWE,03/04/2018,50,141
GRONSKAR,77,59.283,19.033,,SWE,06/11/1991,50,151
FORSMARK,2103,60.409,18.211,,SWE,03/04/2018,50,155
BJORN,90,60.633,17.967,,SWE,01/01/1980,50,161
NEDRE GAVLE,99,60.683,17.167,,SWE,06/11/1991,50,171
DRAGHALLAN,122,62.367,17.533,,SWE,01/01/1980,50,181
SPIKARNA,1211,62.363,17.531,,SWE,03/04/2018,50,183
SKAGSUDDE,2102,63.191,19.013,,SWE,03/04/2018,50,187
RATAN,88,63.986,20.895,,SWE,03/04/2018,50,191
FURUOGRUND,203,64.916,21.231,,SWE,03/04/2018,50,201
KALIX,2101,65.697,23.096,,SWE,03/04/2018,50,205
KEMI,229,65.673,24.515,,FIN,07/11/2018,60,1
OULU / ULEABORG,79,65.040,25.418,,FIN,07/11/2018,60,11
RAAHE / BRAHESTAD,240,64.666,24.407,,FIN,07/11/2018,60,21
YKSPIHLAJA,86,63.833,23.033,,FIN,01/01/1980,60,31
PIETARSAARI / JAKOBSTAD,194,63.709,22.690,,FIN,07/11/2018,60,41
VAASA / VASA,57,63.082,21.571,,FIN,07/11/2018,60,51
RONNSKAR,30,63.067,20.800,,FIN,01/01/1980,60,61
KASKINEN / KASKO,285,62.344,21.215,,FIN,07/11/2018,60,71
SALGRUND,228,62.333,21.200,,FIN,01/01/1980,60,81
REPOSAARI,85,61.617,21.450,,FIN,01/01/1980,60,91
MANTYLUOTO,172,61.594,21.463,,FIN,07/11/2018,60,101
SAPPI,226,61.483,21.333,,FIN,01/01/1980,60,111
RAUMA / RAUMO,376,61.134,21.426,,FIN,07/11/2018,60,121
LYOKKI,16,60.850,21.183,,FIN,01/01/1980,60,221
LYPYRTTI,17,60.600,21.233,,FIN,01/01/1980,60,231
TURKU / ABO,239,60.428,22.101,,FIN,07/11/2018,60,241
HELIGMAN,231,60.200,19.300,,ALA,1/1/1980,60,251
KOBBAKLINTAR,63,60.033,19.883,,ALA,01/01/1980,60,261
LEMSTROM,84,60.100,20.017,,ALA,01/01/1980,60,271
FOGLO / DEGERBY,249,60.032,20.385,,ALA,07/11/2018,60,281
UTO,27,59.783,21.367,,FIN,01/01/1980,60,291
LOHM,233,60.100,21.667,,FIN,01/01/1980,60,301
TVARMINNE,238,59.850,23.250,,FIN,01/01/1980,60,306
JUNGFRUSUND,18,59.950,22.367,,FIN,01/01/1980,60,311
