Station Name,ID,Lat.,Lon.,GLOSS ID,Country,Date,Coastline,Station
AARHUS,76,56.147,10.224,,DNK,11/09/2013,130,81
ABASHIRI,1104,44.019,144.286,327,JPN,08/02/2017,641,3
ABERDEEN I,361,57.144,-2.077,,GBR,28/06/2017,170,11
ABERDEEN II,21,57.150,-2.083,,GBR,01/01/1980,170,12
ABIDJAN,1313,5.250,-4.000,257,CIV,01/01/1980,405,1
ABURATSU,814,31.577,131.409,82,JPN,08/02/2017,645,21
ABURATSUBO,130,35.160,139.615,,JPN,08/02/2017,642,91
ACAJUTLA,1011,13.567,-89.833,182,SLV,03/09/2015,833,11
ACAJUTLA 2,1302,13.583,-89.833,182,SLV,29/09/2015,833,12
ACAPULCO,686,16.833,-99.917,267,MEX,24/06/2015,830,81
ADAK SWEEPER COVE,487,51.863,-176.632,302,USA,02/02/2017,820,11
ADEN,44,12.788,44.974,3,YEM,01/02/2016,485,1
AGUADILLA,2121,18.457,-67.163,,PRI,18/02/2013,938,31
AION,730,69.933,167.983,,RUS,13/07/2010,30,560
AJACCIO,1929,41.923,8.763,,FRA,22/03/2017,232,1
AKKO,2218,32.919,35.070,,ISR,03/05/2016,320,9
AKUNE,1265,32.018,130.191,,JPN,08/02/2017,645,45
AKYAB,421,20.133,92.900,37,MMR,01/01/1980,530,1
ALAMEDA (NAVAL AIR STATION),437,37.772,-122.298,,USA,02/02/2017,823,32
ALAMITOS BAY ENTRANCE,717,33.750,-118.117,,USA,01/01/1980,823,56
ALBANY,957,-35.034,117.893,,AUS,30/06/2016,680,451
ALCUDIA,2063,39.835,3.139,,ESP,20/09/2017,225,14
ALERT,1110,82.490,-62.320,333,CAN,03/08/2010,970,162
ALERT BAY,554,50.583,-126.950,,CAN,01/01/1980,822,21
ALESUND,509,62.469,6.152,,NOR,24/01/2018,40,191
ALEXANDRIA,503,31.217,29.917,349,EGY,18/09/2013,330,71
ALEXANDROUPOLIS,1238,40.844,25.878,,GRC,01/11/2017,290,65
ALGECIRAS,490,36.117,-5.433,,ESP,20/11/2006,220,11
ALGECIRAS 2,2055,36.177,-5.398,,ESP,20/09/2017,220,015
ALGECIRAS B,2117,36.121,-5.437,,ESP,07/02/2017,220,012
ALICANTE I,208,38.338,-0.478,,ESP,11/11/1998,220,051
ALICANTE II,960,38.339,-0.481,,ESP,11/11/1998,220,052
"ALITAK, LAZY BAY",2301,56.898,-154.247,,USA,02/02/2017,821,010
ALMERIA,1455,36.832,-2.485,,ESP,11/11/1998,220,041
ALMERIA 2,2056,36.830,-2.478,,ESP,20/09/2017,220,044
ALMIRANTE BROWN,858,-64.900,-62.867,,ATA,01/01/1980,999,024
ALOTAU,1607,-10.317,150.450,63,PNG,03/07/2013,670,006
ALVARADO,768,18.767,-95.767,,MEX,23/01/1992,920,031
AMASRA,1919,41.433,32.233,,TUR,24/06/2010,310,026
AMBARCHIK,604,69.617,162.300,,RUS,08/12/2014,030,535
AMDERMA,599,69.750,61.700,,RUS,08/12/2014,030,310
AMERICAN RIVER,631,-35.800,137.767,,AUS,01/01/1980,680,361
AMHERST,746,16.083,97.567,,MMR,01/01/1980,530,031
AMRUM (WITTDUEN),1036,54.617,8.383,,DEU,29/06/2017,140,002
ANABAR,1780,73.217,113.500,,RUS,08/12/2014,030,425
