,ID,First,Last,Percent Change,rise,Location,Latitude,Longitude,GLOSS ID,Country,Date,Coastline,Station,id,Flag
0,1,7029.666666666667,7139.430303030304,1.5614344401863993,up,Brest,48.383,-4.495,242.0,FRA,30/08/2016,190,91,1, N
1,5,6959.541666666667,7083.57,1.7821336414634497,up,Holyhead,53.31399999999999,-4.62,,GBR,31/05/2016,170,191,5, Y
2,7,7061.25,7149.583333333333,1.2509588717767113,up,Cuxhaven 2,53.867,8.717,284.0,DEU,27/01/2016,140,12,7, N
3,8,7024.633333333333,7093.3,0.9775124680291779,up,Wismar 2,53.898999999999994,11.458,,DEU,18/11/2015,120,22,8, N
4,9,6864.9333333333325,6946.533333333335,1.1886495620253976,up,Maassluis,51.918,4.25,,NLD,14/06/2016,150,61,9, N
5,10,7024.133333333333,7106.7,1.1754712325126697,up,San Francisco,37.806999999999995,-122.465,158.0,USA,08/03/2016,823,31,10, N
6,11,7050.283333333333,7108.65,0.8278627100092922,up,Warnemunde 2,54.17,12.103,,DEU,01/09/2016,120,12,11, N
7,12,7021.366666666667,7143.116666666667,1.7339929073637135,up,New York ( The Battery),40.7,-74.013,,USA,08/03/2016,960,121,12, N
8,13,6992.3,7044.2,0.7422450409736372,up,Travemunde,53.958,10.872,,DEU,18/11/2015,125,1,13, N
9,14,7004.383333333333,6925.616666666667,-1.1245339228054778,down,Helsinki,60.153999999999996,24.956,,FIN,06/10/2015,60,351,14, N
10,20,6841.5,6938.3166666666675,1.4151380057979612,up,Vlissingen,51.442,3.596,,NLD,14/06/2016,150,101,20, N
11,22,6845.533333333335,6962.783333333335,1.7127956915945188,up,Hoek Van Holland,51.978,4.12,,NLD,14/06/2016,150,51,22, N
12,23,6850.516666666667,6952.066666666666,1.48236994289966,up,Den Helder,52.964,4.745,,NLD,14/06/2016,150,31,23, N
13,24,6843.35,6944.95,1.4846529842840048,up,Delfzijl,53.326,6.933,,NLD,14/06/2016,150,1,24, N
14,25,6939.5,7003.533333333335,0.9227369887359992,up,Harlingen,53.176,5.409,,NLD,14/06/2016,150,21,25, N
15,32,6882.95,6984.983333333333,1.4824070105599032,up,Ijmuiden,52.461999999999996,4.555,,NLD,14/06/2016,150,41,32, N
16,41,6767.333333333333,7109.0,5.048763668604083,up,Poti,42.167,41.683,,GEO,21/06/2016,305,21,41, N
17,43,7041.266666666667,7111.789999999999,1.0015716869123696,up,Mumbai / Bombay (Apollo Bandar),18.917,72.833,,IND,27/01/2016,500,41,43, N
18,45,6900.894444444445,6865.483333333333,-0.5131379909689833,down,Kabelvag,68.21300000000001,14.482000000000001,,NOR,08/09/2016,40,91,45, N
19,47,6927.800505050504,6976.666666666667,0.7053632907087635,up,Stavanger,58.974,5.73,,NOR,08/09/2016,40,261,47, N
20,51,6857.666666666667,6959.666666666667,1.4873863802070675,up,Batumi,41.633,41.7,,GEO,06/07/2016,305,31,51, Y
21,57,6952.027272727273,6670.9,-4.0438171730156,down,Vaasa / Vasa,63.082,21.570999999999998,,FIN,06/10/2015,60,51,57, N
22,58,6918.983636363637,6974.283333333335,0.7992459568637067,up,Bergen,60.398,5.32,,NOR,08/09/2016,40,221,58, N
23,61,6946.07606060606,7042.133333333333,1.3828998111905457,up,Marseille,43.278999999999996,5.354,205.0,FRA,30/08/2016,230,51,61, N
24,69,6946.65,6921.05,-0.36852295710881444,even,Olands Norra Udde,57.36600000000001,17.097,,SWE,05/04/2016,50,91,69, N
25,70,7029.55,7051.15,0.30727429209550333,even,Kungsholmsfort,56.105,15.589,,SWE,05/04/2016,50,81,70, N
26,71,6958.6833333333325,6860.95,-1.4044802536878291,down,Hanko / Hango,59.823,22.976999999999997,,FIN,06/10/2015,60,331,71, N
27,76,7027.625757575758,7082.133333333333,0.7756186461525227,up,Aarhus,56.147,10.224,,DNK,11/09/2013,130,81,76, N
28,78,6941.283333333335,6825.8166666666675,-1.6634772148281967,down,Stockholm,59.324,18.082,341.0,SWE,05/04/2016,50,141,78, N
29,79,7127.470000000001,6878.9333333333325,-3.4870250827666567,down,Oulu / Uleaborg,65.04,25.418000000000003,,FIN,06/10/2015,60,11,79, N
30,80,7021.066666666666,7119.766666666667,1.4057693038095112,up,Esbjerg,55.461000000000006,8.441,,DNK,11/09/2013,130,121,80, N
31,81,7033.436363636363,7103.0666666666675,0.989989806267397,up,Fredericia,55.56100000000001,9.754,,DNK,11/09/2013,130,71,81, N
32,82,6972.518181818183,7013.062121212121,0.5814820174963856,up,Kobenhavn,55.705,12.6,,DNK,12/09/2013,130,21,82, N
33,88,6884.45,6611.116666666667,-3.9703002176402333,down,Ratan,63.986000000000004,20.895,,SWE,05/04/2016,50,191,88, N
34,89,7060.65,7067.533333333335,0.0974886636971813,even,Hirtshals,57.596000000000004,9.964,,DNK,12/09/2013,130,101,89, N
35,91,6957.7666666666655,6944.533333333333,-0.19019512966324445,even,Frederikshavn,57.43600000000001,10.549000000000001,,DNK,12/09/2013,130,91,91, N
36,95,6955.301515151516,7025.316666666666,1.0066443756985697,up,North Shields,55.007,-1.44,,GBR,31/05/2016,170,53,95, N
37,98,7017.655151515151,7087.856666666667,1.0003557261766887,up,Slipshavn,55.288000000000004,10.828,,DNK,12/09/2013,130,51,98, N
38,111,6735.866666666666,6864.533333333333,1.9101724103802578,up,Fremantle,-32.066,115.74799999999999,53.0,AUS,30/06/2016,680,471,111, N
39,112,7208.533333333335,7302.116666666666,1.298229875702841,up,Fernandina Beach,30.671999999999997,-81.465,,USA,08/03/2016,960,21,112, N
40,113,7019.6,7083.35,0.908171405778107,up,Korsor,55.332,11.142000000000001,,DNK,12/09/2013,130,41,113, N
41,118,6452.0,6606.736666666667,2.3982744368671214,up,Klaipeda,55.7,21.133000000000003,,LTU,17/07/2012,84,161,118, N
42,119,7009.35,7081.954545454544,1.0358242269902882,up,Hornbaek,56.091,12.458,,DNK,12/09/2013,130,31,119, N
43,120,6949.239393939393,7060.077272727273,1.5949641752814645,up,Gedser,54.573,11.925999999999998,,DNK,12/09/2013,130,1,120, N
44,126,7213.227272727272,6732.333333333334,-6.666834708122477,down,Trois-Rivieres,46.333,-72.55,,CAN,01/06/2016,970,78,126, N
45,127,7086.966666666667,7166.5,1.1222478822627384,up,Seattle,47.602,-122.338,,USA,08/03/2016,823,11,127, N
46,130,6993.633333333333,7163.1,2.4231562993008,up,Aburatsubo,35.16,139.615,,JPN,15/03/2016,642,91,130, N
47,131,7038.69696969697,7815.625,11.037952530814497,up,Ayukawa,38.297,141.505,,JPN,15/03/2016,642,31,131, N
48,132,7018.95,7057.133333333333,0.5440034952996302,up,Wajima,37.406,136.9,,JPN,15/03/2016,647,71,132, N
49,133,6954.983333333333,6958.333333333334,0.04816690190968021,even,Hosojima,32.429,131.66899999999998,,JPN,15/03/2016,645,11,133, N
50,134,6979.2787878787885,7150.583333333334,2.4544734586624815,up,Kushimoto,33.476,135.773,85.0,JPN,15/03/2016,642,141,134, N
51,135,6961.083333333334,7076.2,1.6537176924089767,up,Philadelphia (Pier 9N),39.933,-75.142,,USA,08/03/2016,960,87,135, N
52,137,7196.7,6768.333333333334,-5.952265158568037,down,Port-Saint-Francois,46.266999999999996,-72.617,,CAN,01/06/2016,970,76,137, N
53,144,6805.772727272726,6472.3,-4.89985106226664,down,Batiscan,46.5,-72.25,,CAN,01/06/2016,970,82,144, N
54,145,6992.966666666667,7549.666666666667,7.960855907602397,up,"Manila, S. Harbor",14.583,120.96700000000001,73.0,PHL,01/12/2015,660,11,145, Y
55,148,7063.216666666665,7183.974242424241,1.7096682921743778,up,Baltimore,39.266999999999996,-76.578,,USA,08/03/2016,960,81,148, N
56,154,7006.65,7098.9833333333345,1.3177957131201765,up,Trieste,45.647,13.758,340.0,ITA,22/03/2016,270,61,154, N
57,155,7030.166666666667,7085.866666666666,0.7922998506436392,up,Honolulu,21.307,-157.86700000000002,108.0,USA,08/03/2016,760,31,155, N
58,158,7027.616666666667,7167.416666666667,1.9892946162402165,up,San Diego (Quarantine Station),32.713,-117.17299999999999,,USA,08/03/2016,823,81,158, N
59,161,7183.333333333333,7414.0,3.2111368909512805,up,"Galveston Ii, Pier 21, Tx",29.31,-94.79299999999999,217.0,USA,08/03/2016,940,8,161, N
60,163,7074.333333333334,7113.783333333335,0.557649719643793,up,Balboa,8.967,-79.567,168.0,PAN,24/05/2016,840,11,163, N
61,165,7028.166666666667,6995.166666666667,-0.4695392349830444,even,Tofino,49.15,-125.917,156.0,CAN,28/06/2016,822,116,165, N
62,166,6987.863636363637,7027.333333333333,0.5648321006767018,up,Victoria,48.417,-123.367,,CAN,31/05/2016,822,101,166, N
