STATION,GPS,HEIGHT (m),HEIGHT UNCERTAINTY (m),RATE (mm/yr),RATE UNCERTAINTY (mm/yr),EPOCH,SOLUTION,START DATE,END DATE
1,BRST,44.103,0.005,-0.02,0.11,2018.0000,ULR6,1998-10-31,2019-01-19
3,SHEE,37.836,0.004,1.09,0.20,2018.0000,ULR6,1997-03-26,2019-01-15
7,TGCU,32.399,0.007,0.01,0.86,2018.0000,ULR6,2008-12-10,2018-04-19
52,CASC,46.453,0.004,-0.08,0.18,2018.0000,ULR6,1998-05-01,2019-01-19
61,MARS,42.087,0.006,-0.24,0.18,2018.0000,ULR6,1998-07-17,2019-01-19
95,NSTG,42.124,0.006,0.56,0.37,2018.0000,ULR6,1998-03-15,2009-11-26
96,HLFX,-28.807,0.011,-1.14,0.18,2018.0000,ULR6,2002-12-20,2019-01-19
118,KLPD,18.314,0.008,0.45,1.48,2018.0000,ULR6,2004-12-07,2012-11-04
130,P108,28.849,0.006,,,2018.0000,ULR6,2003-04-01,2019-01-19
132,P111,30.425,0.009,,,2018.0000,ULR6,2003-06-04,2019-01-18
133,P122,22.755,0.005,,,2018.0000,ULR6,2003-04-21,2019-01-19
134,P208,31.854,0.005,,,2018.0000,ULR6,2003-04-01,2019-01-19
138,PPER,-36.147,0.025,,,2018.0000,ULR6,2012-01-01,2019-01-19
145,PIMO,36.165,0.157,,,2018.0000,ULR6,1999-03-15,2019-01-19
165,UCLU,-25.467,0.004,2.61,0.20,2018.0000,ULR6,1994-05-05,2019-01-19
166,ALBH,-25.278,0.011,0.72,0.14,2018.0000,ULR6,1992-05-04,2019-01-10
202,NEWL,46.042,0.004,-0.21,0.13,2018.0000,ULR6,1998-09-30,2019-01-15
255,DVTG,37.288,0.007,,,2018.0000,ULR6,1999-07-02,2012-05-24
258,PDEL,49.824,0.025,-1.51,0.17,2018.0000,ULR6,2000-04-17,2019-01-19
303,TN01,36.891,0.008,-1.42,0.20,2018.0000,ULR6,2007-05-15,2019-01-19
314,SWTG,49.563,0.005,0.60,0.30,2018.0000,ULR6,2005-09-02,2018-05-02
350,PMTG,38.889,0.005,0.04,0.23,2018.0000,ULR6,2001-09-25,2016-10-09
