UH#,GLOSS#,Location,Country,Latitude,Longitude,Start,End
1,115,Pohnpei,"Micronesia, Federated States of",6.96000,158.21000,2001-12-16,2016-07-31
2,113,Betio (Tarawa),Kiribati,1.35000,172.91700,1992-12-04,2016-07-31
3,169,Baltra (Galapagos Is.),Ecuador,-0.43300,-90.28300,1985-03-25,2016-07-31
4,114,Nauru,Nauru,0.53300,166.93000,1993-07-08,2016-06-30
5,112,Majuro,Marshall Islands,7.11700,171.36700,1993-05-14,2016-07-31
7,120,Malakal,Palau,7.32800,134.45000,1969-05-18,2016-07-31
8,119,Yap,"Micronesia, Federated States of",9.51400,138.12500,1969-05-10,2016-07-31
9,66,Honiara,Solomon Islands,-9.43300,159.95000,1994-07-28,2016-07-31
11,146,Christmas Is. (Line Is.),Kiribati,1.98300,-157.46700,1974-02-06,2016-05-31
13,145,Canton Is. (Kanton Is.),Kiribati,-2.81700,-171.71700,1972-05-02,2016-05-31
14,107,French Frigate Shoals Tern Is,United States,23.78300,-166.21700,2007-05-26,2016-05-31
15,140,Papeete,France,-17.53300,-149.56700,1975-06-08,2016-05-31
16,138,Rikitea,France,-23.13300,-134.97000,1969-10-05,2016-05-31
17,,Hiva Oa,French Polynesia,-9.81700,-139.03300,2010-09-05,2016-05-31
18,122,Suva (Kings Wharf),Fiji,-18.13700,178.43300,1998-01-27,2016-07-31
19,123,Noumea,France,-22.28500,166.43300,1967-02-24,2016-05-31
21,176,Juan Fernandez,Chile,-33.61700,-78.83300,1985-09-04,2016-05-31
22,137,Pascua Is. (Easter Is.),Chile,-27.15300,-109.44800,1970-04-02,2016-05-31
23,139,Rarotonga,Cook Islands,-21.20000,-159.78300,1993-02-20,2016-07-31
24,143,Penrhyn,Cook Islands,-9.01700,-158.06700,1977-04-16,2016-05-31
25,121,Funafuti,Tuvalu,-8.53300,179.20000,1993-03-24,2016-07-31
28,118,Saipan,Northern Mariana Islands,15.22700,145.74200,1978-09-19,2016-05-31
29,117,Kapingamarangi (Caroline Is.),"Micronesia, Federated States of",1.10000,154.78300,1978-09-08,2016-07-31
30,,Santa Cruz Galapagos,Ecuador,-0.75200,-90.30700,1978-10-19,2016-07-31
31,142,Nuku Hiva (Marquesas Is.),French Polynesia,-8.92200,-140.09500,1982-04-01,2016-05-31
33,69,Manado (Bitung),Indonesia,1.43000,125.20000,2008-09-02,2016-05-31
34,161,Cabo San Lucas,Mexico,22.88300,-109.91700,1973-06-12,2014-09-14
35,177,San Felix,Chile,-26.25800,-80.12400,1987-11-06,2016-05-31
38,125,Tongatapu (Nuku' alofa),Tonga,-21.15000,-175.18000,1990-06-20,2016-07-31
39,,Kodiak,United States,57.73200,-152.51200,1975-01-01,2016-05-31
40,302,Adak,United States,51.86700,-176.63300,1950-03-17,2016-05-31
