,country,emission,gdp,pop,pop_sealevel
0,ISL,6.08214316601,16598494830.9,330823,7.557741879
2,FRO,12.3012921395,,48199,6.771790359
3,SJM,,,,
6,RUS,12.4668162845,1.33120774585e+12,144096812,1.20662879
83,NOR,11.7403242327,386578443733.0,5195921,3.85093944
114,SWE,4.61718188417,495623697305.0,9798871,3.736961839
151,FIN,8.5125538429,231949650660.0,5482013,1.864564778
167,ALA,,,,
188,EST,15.1104114805,22459443273.8,1311998,2.906475881
190,LVA,3.51824090365,27002832427.6,1978440,17.296481659
192,LTU,4.27365723712,41170728956.4,2910199,2.868113534
193,POL,7.94772847648,477066454437.0,37999494,1.747105451
200,DEU,9.22059080377,3.36344682267e+12,81413145,4.043249379
206,DNK,6.77962386722,295091333721.0,5676002,16.338236604
224,NLD,10.1147592492,750283908173.0,16936520,58.506164788
233,BEL,8.37163927479,455085726960.0,11285721,11.166894347
236,GBR,7.13372170938,2.85800308797e+12,65138232,5.313018364
295,IMN,,,87780,3.515780666
308,IRL,7.60387330606,283703217034.0,4640703,4.769124671
310,JEY,,,,
311,FRA,5.05048299435,2.41883553288e+12,66808385,2.892155592
334,ESP,5.08298252393,1.19905733614e+12,46418269,4.376614966
349,PRT,4.42398077132,198923264944.0,10348648,3.625957936
357,GIB,15.49110971,,32217,29.01155176
395,MCO,,,37731,25.261281697
396,ITA,5.72380998503,1.8214969644e+12,60802085,5.663002316
421,MLT,5.24013047566,9746478873.24,431333,2.260840934
441,SVN,7.01018227115,42774769768.2,2063768,0.756482579
443,HRV,4.16186662136,48732003674.4,4224404,1.84929244
455,MNE,3.61855387979,3987061627.51,622388,
456,GRC,6.30685109479,194851319175.0,10823732,4.493864291
483,BGR,5.44564855477,50199117547.0,7177991,0.735205043
485,ROU,3.53970760059,177954489852.0,19832389,1.951499931
486,UKR,5.95963275122,90615023323.7,45198200,1.800944464
488,GEO,1.98888135593,13965385801.8,3679000,2.755012502
490,TUR,4.2434526381,717879788567.0,78665830,1.755872692
500,CYP,5.20988357223,19559942331.2,1165300,5.63504184
502,ISR,8.81863564737,299415714727.0,8380400,1.565873017
509,EGY,2.43126194723,330778550717.0,91508084,21.523719296
513,MAR,1.75048194934,100593283697.0,34377511,1.380354236
536,CPV,0.874716613636,1603239233.28,520502,5.636994383
538,SEN,0.592298341591,13609989582.0,15129273,10.057576524
540,SHN,,,,
541,CIV,0.41566984191,31759248867.8,22701556,3.764942457
542,GHA,0.558786408969,37543361203.6,27409893,2.622705637
544,NGA,0.553477350779,481066152870.0,182201962,2.667120246
545,COG,0.564945450209,8553154505.84,4620330,0.480087173
547,NAM,1.25640418104,11491507355.6,2458830,1.089542897
549,ZAF,8.85916909346,314571945857.0,54956920,0.164518301
562,MOZ,0.151849649264,14807075727.5,27977863,5.245980947
564,MYT,,,,
565,MDG,0.13420599578,9738652322.17,24235390,1.663527942
566,SYC,7.17899888765,1437722206.39,92900,16.637164547
567,MUS,2.96004697085,11681761261.0,1262605,1.413202542
571,REU,,,,
572,IOT,,,,
574,MDV,2.66860559796,3435244658.77,409163,48.23643801
576,TZA,0.214118776965,45628247290.5,53470420,0.71018394
577,KEN,0.304402197694,63398041540.4,46050302,0.411611072
579,SDN,0.309100309482,97156119150,40234882,0.303605574
582,BHR,23.6825741593,31125851063.8,1377237,34.281653244
583,YEM,0.992679614167,37733919936.2,26832215,1.581225688
584,OMN,15.6604231168,69830949284.8,4490541,5.652352959
588,IRN,7.99684853798,,79109272,1.274336046
589,PAK,0.84643947415,271049886673.0,188924874,1.064888293
590,IND,1.59027282895,2.0953983491e+12,1311050527,2.664960354
617,BGD,0.438735965551,195078665828.0,160995642,8.916143359
622,MMR,0.237874069086,62600906116.1,53897154,10.972568
627,THA,4.49386948432,395168025882.0,67959359,10.341856384
629,MYS,8.02672706796,296283190373.0,30331007,5.098261202
641,SGP,9.36384738965,292739307536.0,5535002,10.332070593
655,IDN,1.90778125926,861933968740.0,257563815,7.366889765
667,VNM,1.70036828414,193599379095.0,91703800,36.971831991
674,MAC,3.8151115383,46177532874.1,587606,39.64556654
675,CHN,7.5509164847,1.10077205941e+13,1371220000,6.553332482
692,HKG,6.26004730435,309234500374.0,7305700,10.327689817
701,TWN,,,,
703,KOR,11.7981500834,1.37787310786e+12,50617045,3.043292478
726,PRK,2.01204263948,,25155317,5.131531888
730,JPN,9.76439314511,4.38307629808e+12,126958472,12.646664686
869,PHL,1.00683860345,292451392607.0,100699395,5.651287935
904,PNG,0.830847584522,,7619321,0.487487608
914,AUS,16.3473020462,1.3391405275e+12,23781169,4.516620755
1001,CCK,,,,
1008,NZL,7.64505234011,173754075211.0,4595700,4.232579488
1030,MNP,,,55070,1.85220231
1031,GUM,,,169885,1.248191522
1033,FSM,1.41421932548,314971100,104460,8.41057523
1037,PLW,10.6930063579,287400000,21291,3.453916326
1038,NRU,4.34607407407,100457157.645,10222,7.613074013
1040,MHL,1.94513696814,179432573.764,52993,35.86786808
1045,KIR,0.574320091392,160121929.231,112423,20.570596352
1049,TUV,,32673277.7402,9916,47.46696097
1051,SLB,0.353171566923,1129164718.81,583591,2.856797328
1053,NCL,14.6819429658,,273000,13.99765205
1055,VUT,0.420054114905,742432131.041,264652,1.176430145
1056,FJI,1.94076914253,4425503074.7,892145,4.892924565
1058,TON,1.98802537593,435142408.969,106170,7.528864139
1059,ASM,,,55538,3.271014103
1060,WSM,1.25193024844,761037916.358,193228,1.44459699
1063,UMI,,,,
1065,USA,16.3897579949,18036648000000,321418820,2.512555129
1078,COK,,,,
1079,PYF,2.96787900248,,282764,4.969231945
1085,CHL,4.73213571158,240796388429.0,17948141,0.367832974
1113,CAN,13.5322948481,1.55053652014e+12,35851774,2.221496304
1170,MEX,3.94861524649,1.14379318419e+12,127017224,1.580045429
1186,GTM,0.866574175059,63794152886.0,16342897,0.212475456
1189,SLV,1.0441625159,25850200000,6126583,0.496987593
1192,CRI,1.6182869277,54136834090.9,4807850,0.361702216
1195,PAN,2.72301765544,52132289747.2,3929141,3.009577053
1200,COL,1.89312787366,292080155633.0,48228704,1.224929591
1202,ECU,2.77928758459,100176808000,16144363,5.190229742
1207,PER,1.86988385354,189111139010.0,31376670,0.915312205
1231,ARG,4.46229797972,583168571071.0,43416755,3.028912698
1246,FLK,,,,
1248,URY,2.23163943099,53442697568.7,3431555,4.114018793
1252,BRA,2.46587023518,1.7747248189e+12,207847528,2.558210374
1263,GUF,,,,
1264,TTO,34.5202367531,23559287483.9,1360088,2.907216261
1265,GRD,2.87398727125,984074074.074,106825,1.885817633
1266,VEN,6.1280086286,,31108083,2.496107478
1273,HND,1.15489308973,20420967148.9,8075060,0.904438698
1275,MTQ,,,,
1276,GLP,,,,
1284,CUB,3.46222738736,,11389562,2.907142218
1295,CYM,9.23519333893,,59967,12.072328935
1297,JAM,2.84615509294,14262190323.0,2725941,3.629412269
1298,HTI,0.230610159915,8765329889.96,10711067,1.867985623
1299,DOM,2.14675587235,68102618092.1,10528391,1.230040795
1301,PRI,,,3474182,8.912764476
1307,VIR,,,103574,5.444844631
1346,BHS,8.22995916272,8853519100,388019,20.284972574
1348,BMU,5.58503715327,,65235,11.864267092
1483,ATA,,,,
